nombre_entidad,CVE_ENT,nombre_municipio,CVE_MUN,sexo,grupo_edad,poblacion_total,total_limitacion,caminar_moverse,ver,escuchar,hablar,atender_cuidadop,poner_atencion,mental,sin_limitacion,no_especifica
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,15-19 años,30701,444,103,163,35,63,18,50,91,29897,360
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,20-24 años,32914,457,120,177,33,48,20,36,97,32110,347
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,25-29 años,31390,427,133,151,25,48,18,34,112,30557,406
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,30-34 años,30489,435,150,134,31,47,22,28,99,29696,358
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,35-39 años,32428,586,239,165,44,48,23,25,118,31504,338
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,40-44 años,28172,681,308,179,56,53,33,38,128,27192,299
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,45-49 años,24854,838,428,262,65,43,29,16,88,23727,289
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,50-54 años,22344,1070,572,359,91,41,32,25,78,21055,219
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,55-59 años,16980,1162,715,344,88,40,39,24,57,15650,168
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,60-64 años,13941,1341,886,378,109,34,48,21,47,12468,132
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,65-69 años,10026,1295,901,342,118,42,54,21,31,8634,97
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,70-74 años,8116,1474,1094,353,177,45,60,21,39,6554,88
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,75-79 años,5741,1320,994,292,177,60,89,39,47,4355,66
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,80-84 años,4066,1233,902,286,199,47,99,40,53,2786,47
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,85 años y más,3539,1520,1187,371,331,85,266,80,83,1945,74
09 Distrito Federal,09,010 Álvaro Obregón,010,Mujeres,No especificado,4618,9,7,1,0,0,1,0,1,128,4481
09 Distrito Federal,09,002 Azcapotzalco,002,Total,Total,414711,17918,10319,4528,2220,1172,1010,710,2102,384317,12476
09 Distrito Federal,09,002 Azcapotzalco,002,Total,00-04 años,25491,185,46,16,10,50,10,10,78,24955,351
09 Distrito Federal,09,002 Azcapotzalco,002,Total,05-09 años,27676,422,99,63,41,120,31,68,147,26964,290
09 Distrito Federal,09,002 Azcapotzalco,002,Total,10-14 años,28207,443,94,110,40,79,28,69,138,27545,219
09 Distrito Federal,09,002 Azcapotzalco,002,Total,15-19 años,32040,535,114,132,48,85,22,56,179,31275,230
09 Distrito Federal,09,002 Azcapotzalco,002,Total,20-24 años,34063,493,136,132,39,53,26,44,161,33350,220
09 Distrito Federal,09,002 Azcapotzalco,002,Total,25-29 años,32464,495,157,138,40,60,18,34,148,31751,218
09 Distrito Federal,09,002 Azcapotzalco,002,Total,30-34 años,31115,589,202,174,33,55,25,39,155,30298,228
09 Distrito Federal,09,002 Azcapotzalco,002,Total,35-39 años,33404,760,301,194,51,69,31,48,188,32437,207
09 Distrito Federal,09,002 Azcapotzalco,002,Total,40-44 años,30760,820,350,205,65,71,26,29,179,29727,213
09 Distrito Federal,09,002 Azcapotzalco,002,Total,45-49 años,27858,933,467,257,73,47,36,22,143,26749,176
09 Distrito Federal,09,002 Azcapotzalco,002,Total,50-54 años,25581,1226,668,355,110,60,54,22,126,24197,158
09 Distrito Federal,09,002 Azcapotzalco,002,Total,55-59 años,19953,1225,745,357,85,63,59,28,68,18615,113
09 Distrito Federal,09,002 Azcapotzalco,002,Total,60-64 años,16783,1573,1038,397,158,50,61,29,75,15111,99
09 Distrito Federal,09,002 Azcapotzalco,002,Total,65-69 años,12611,1632,1082,425,205,60,62,24,67,10902,77
09 Distrito Federal,09,002 Azcapotzalco,002,Total,70-74 años,10629,1772,1263,431,225,45,80,16,54,8787,70
09 Distrito Federal,09,002 Azcapotzalco,002,Total,75-79 años,7344,1663,1232,414,273,62,109,49,41,5632,49
09 Distrito Federal,09,002 Azcapotzalco,002,Total,80-84 años,4961,1457,1043,323,321,59,103,49,72,3474,30
09 Distrito Federal,09,002 Azcapotzalco,002,Total,85 años y más,4156,1686,1274,405,402,84,227,74,82,2429,41
09 Distrito Federal,09,002 Azcapotzalco,002,Total,No especificado,9615,9,8,0,1,0,2,0,1,119,9487
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,Total,196053,8060,4122,2027,1115,640,409,363,1142,181873,6120
09 Distrito Federal,09,002 Azcapotzalco,002,Hombres,00-04 años,13105,116,26,8,7,36,7,6,47,12809,180
