entidad_federativa,CVE_MUN,municipio,sexo,grupos_edad,poblacion,lengua_indigena,nolengua_indigena
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,25-29 años,88,0,88
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,30-34 años,83,0,83
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,35-39 años,90,0,90
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,40-44 años,90,0,90
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,45-49 años,85,0,85
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,50-54 años,67,0,67
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,55-59 años,49,0,49
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,60-64 años,33,1,32
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Hombres,65 años y más,113,2,111
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,03-04 años,59,0,59
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,05-09 años,152,0,152
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,10-14 años,169,0,169
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,15-19 años,180,0,180
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,20-24 años,140,0,140
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,25-29 años,115,0,114
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,30-34 años,111,0,111
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,35-39 años,116,0,116
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,40-44 años,100,0,100
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,45-49 años,96,0,96
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,50-54 años,52,0,52
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,55-59 años,46,0,46
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,60-64 años,39,0,38
30 Veracruz de Ignacio de la Llave,002,002 Acatlán,Mujeres,65 años y más,120,2,118
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,03-04 años,3060,51,2955
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,05-09 años,7911,216,7664
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,10-14 años,8217,312,7879
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,15-19 años,8768,361,8389
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,20-24 años,7287,291,6982
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,25-29 años,6333,307,6019
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,30-34 años,6115,304,5802
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,35-39 años,5928,324,5601
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,40-44 años,5426,333,5092
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,45-49 años,4629,318,4302
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,50-54 años,3903,269,3627
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,55-59 años,3284,239,3036
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,60-64 años,2365,171,2190
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Total,65 años y más,5448,475,4967
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Hombres,03-04 años,1508,26,1457
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Hombres,05-09 años,4065,113,3934
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Hombres,10-14 años,4187,162,4009
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Hombres,15-19 años,4348,166,4169
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Hombres,20-24 años,3435,145,3284
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Hombres,25-29 años,2858,135,2719
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Hombres,30-34 años,2744,148,2590
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Hombres,35-39 años,2616,143,2472
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Hombres,40-44 años,2561,159,2402
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Hombres,45-49 años,2150,168,1977
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Hombres,50-54 años,1860,149,1708
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Hombres,55-59 años,1583,110,1468
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Hombres,60-64 años,1143,90,1051
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Hombres,65 años y más,2570,233,2335
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Mujeres,03-04 años,1552,25,1498
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Mujeres,05-09 años,3846,103,3730
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Mujeres,10-14 años,4030,150,3870
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Mujeres,15-19 años,4420,195,4220
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Mujeres,20-24 años,3852,146,3698
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Mujeres,25-29 años,3475,172,3300
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Mujeres,30-34 años,3371,156,3212
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Mujeres,35-39 años,3312,181,3129
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Mujeres,40-44 años,2865,174,2690
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Mujeres,45-49 años,2479,150,2325
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Mujeres,50-54 años,2043,120,1919
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Mujeres,55-59 años,1701,129,1568
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Mujeres,60-64 años,1222,81,1139
30 Veracruz de Ignacio de la Llave,003,003 Acayucan,Mujeres,65 años y más,2878,242,2632
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Total,03-04 años,1193,1,1164
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Total,05-09 años,3224,6,3193
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Total,10-14 años,3573,2,3552
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Total,15-19 años,3750,4,3727
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Total,20-24 años,2935,3,2921
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Total,25-29 años,2492,4,2478
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Total,30-34 años,2812,10,2797
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Total,35-39 años,3127,9,3104
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Total,40-44 años,3056,9,3039
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Total,45-49 años,2732,8,2711
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Total,50-54 años,2348,5,2331
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Total,55-59 años,1978,9,1967
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Total,60-64 años,1698,9,1687
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Total,65 años y más,4229,15,4194
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Hombres,03-04 años,631,0,614
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Hombres,05-09 años,1609,4,1591
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Hombres,10-14 años,1824,1,1812
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Hombres,15-19 años,1923,3,1911
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Hombres,20-24 años,1409,0,1404
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Hombres,25-29 años,1123,3,1118
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Hombres,30-34 años,1247,6,1237
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Hombres,35-39 años,1485,2,1479
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Hombres,40-44 años,1535,7,1525
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Hombres,45-49 años,1357,7,1346
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Hombres,50-54 años,1182,2,1176
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Hombres,55-59 años,1000,5,994
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Hombres,60-64 años,863,7,855
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Hombres,65 años y más,2055,8,2037
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Mujeres,03-04 años,562,1,550
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Mujeres,05-09 años,1615,2,1602
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Mujeres,10-14 años,1749,1,1740
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Mujeres,15-19 años,1827,1,1816
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Mujeres,20-24 años,1526,3,1517
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Mujeres,25-29 años,1369,1,1360
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Mujeres,30-34 años,1565,4,1560
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Mujeres,35-39 años,1642,7,1625
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Mujeres,40-44 años,1521,2,1514
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Mujeres,45-49 años,1375,1,1365
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Mujeres,50-54 años,1166,3,1155
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Mujeres,55-59 años,978,4,973
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Mujeres,60-64 años,835,2,832
30 Veracruz de Ignacio de la Llave,004,004 Actopan,Mujeres,65 años y más,2174,7,2157
30 Veracruz de Ignacio de la Llave,005,005 Acula,Total,03-04 años,171,0,164
30 Veracruz de Ignacio de la Llave,005,005 Acula,Total,05-09 años,456,0,454
30 Veracruz de Ignacio de la Llave,005,005 Acula,Total,10-14 años,457,0,456
30 Veracruz de Ignacio de la Llave,005,005 Acula,Total,15-19 años,473,1,471
30 Veracruz de Ignacio de la Llave,005,005 Acula,Total,20-24 años,353,1,348
30 Veracruz de Ignacio de la Llave,005,005 Acula,Total,25-29 años,328,0,326
